Japanese,English
大和猿楽,Yamato Sarugaku troupe
舞子,maiko
寛治,Kanji era
箔打ち用紙,paper for foil making
めんたいこ,"Mentaiko (spicy cod roe, salted for preservation and spiced with Korean chili pepper)"
朝臣,Ason 
造内裏行事所,Zodairi-Gyojidokoro (office for Dairi Castle construction)
一乗院宮尊映入道親王,Ichijoinnomiya priestly Imperial Prince Sonei
一条伊尹,Koremasa/Koretada ICHIJO
東福寺駅,Tofukuji Station
勝鬘経,Shomangyo
泉福寺薬師堂（千葉県印旛村）,"Yakushi-do of Senpuku-ji Temple (Inba Village, Chiba Prefecture)"
免状,a diploma 
妹の力,Imo-no-chikara
菊池家,Kikuchi Family
旗本,hatamoto (a direct vassal of the shogun)
二物,"second, much money"
旧住友会館（泉ガーデンタワー・泉屋博古館分館）,"Old Sumitomo-Kaikan, Izumi Garden Tower, Senoku-hakuko-bunkan"
広瀬院,Hirosein
藤原重子,FUJIWARA no Jushi (Shigeko)
京都の治安維持,maintenance of the public order in Kyoto
芹沢けい介,Keisuke SERIZAWA
高山氏,Takayama Clan
温羅,ura ogre
万里小路充房,Atsufusa MADENOKOJI
御堂関白,Mido Kanpaku
加藤周一,Shuichi KATO
五味,Gomi
北条高時,Takatoki HOJO
西行法師行状絵詞,Saigyo Hoshi Gyojo Ekotoba
柴屋軒,Saiokuken
伝述一心戒文,Denjutsuisshinkaimon
花林院永僧正之事,About Eigen zojo of Kerinin
河井寛次郎,Kanjiro KAWAI
岩倉東線,Iwakura Higashi Line
大崎・葛西一揆,"Osaki, Kasai Ikki Uprisings"
勝尾寺,Katsuoji Temple
エンボス機,an embossing machine
JR祝園駅,JR Hosono Station
大勲位菊花章頸飾,Collar of the Supreme Order of the Chrysanthemum
悪党,Akuto (a villain in the medieval times)
千里線,Senri Line
タンチョウ,Japanese crane/red-crested white crane
池坊華道,Ikenobo Ikebana
覆刻,republishing; reissuing
八瀬遊園前,Yase-Yuen-mae
甲州街道,Koshu-kaido Road
南丹市立殿田小学校,"Tonoda Elementary School, Nantan City"
服部川,Hattori-gawa River
仕切り,a partition (a divider)
高麗村,Korai Mura Village
正親町公通,Kinmichi OGIMACHI
武智麻呂,Muchimaro
有市村,Ariichi-mura
道康親王,Imperial Prince Michiyasu
楠木正時,Masatoki KUSUNOKI
磐上館,Banjokan
楽書,Gakusho book
宮崎,Miyazaki
藤原温子,FUJIWARA no Onshi
盧溝橋事件,Rokokyo bridge Incident (the Marco Polo Bridge Incident)
多治氏,the Taji clan
篠原長房,Nagafusa SHINOHARA
袖括り,sodekukuri (straps to turn up one's cuffs)
伊豆下田城,Izu Shimoda-jo Castle
般若寺,Hannya-ji Temple
明治元年,Year of 1868
実相院/岩倉実相院,Jissoin Temple
真宗大谷派宗務所出版部,Shinshu Otani-ha Shumusho Shuppambu
明衣（きよぎぬ）,kiyoginu
工芸品,arts and crafts
伊藤仁斎古義堂阯,remains of Jinsai ITO's Kogido school
木造金剛力士像,wooden statue of Kongorikishi
アメノコヤネノミコト,Amenokoyane no mikoto
草野谷,Kusanotani
那須神社,Nasu-jinja Shrine
噺,comic stories
徳川家宣,Ienobu TOKUGAWA
歴代の住職,successive head priests
籾井氏,the Momii clan
三部経論義記,Sambu-kyo Rongiki
園辺忠康,Tadayasu SONOBE
陸上自衛隊桂駐屯地,Japan Ground Self-Defense Force Katsura Base
宝暦暦,Horyaku reki (Horyaku calendar)
中原康富,Yasutomi NAKAHARA
自動体外式除細動器 (AED),automated external defibrillator (AED)
鮒寿司,Funa-zushi (crucian carp sushi)
行儀見習い,learn manners
狩野孝信,Takanobu KANO
律旋,Japanese tone based on Rissenpo
斎祀神社,Saishi (enshrining) Shrine
六角義郷,Yoshisato ROKKAKU
龍猛,Ryumyo
出合橋,Deai-bashi Bridge
月弓尊,Tsukuyomi no mikoto
函館戦争,Battle of Hakodate
舞鶴蒲鉾協同組合,Maizuru Kamaboko Cooperative Society
クニ,a province
田斉,Densei
関宗祐,Munesuke SEKI
長慶天皇,Emperor Chokei
盆栽,a bonsai (a dwarf miniature potted tree)
三穂津彦大神,Mihotsuhiko no okami
後光厳天皇宸翰書状,Emperor Gokogon's Imperial letters and personal writings
複合社殿形式,shrine pavillion complex styles
長束長吉,Nagayoshi NATSUKA
還城楽,Genjoraku
花盗人（はなぬすびと）,HANANUSUBITO
世尊寺流世尊寺伊行女,"the daughter of Koreyuki SESONJI, of the Sesonji style (Sesonji-ryu)"
園部支所,Sonobe Branch
伊予国国司,Kokushi(an officer of local government) in Iyo Province
京都妖怪地図・嵯峨野に生きる900歳の新妻,"Kyoto Specters Map, new wife of 900-year old who lives in Sagano"
二条城の東方,East of Nijo-jo Castle
筑前名島,Chikuzen Najima
円明寺村,Enmyoji-mura
書,calligraphy
三尺一寸,0.93 meters
童形水干,dogyo suikan (everyday garment worn by dogyo (boy before grown man) in ancient Japan)
承平,Johei era
一橋家当主徳川茂徳,the head of Hitotsubashi family Mochinaga TOKUGAWA
下鴨神社境内,the precincts of Shimogmo Shrine
境内墓地,grave in precincts
水資源機構,Japan Water agency
豊臣秀吉の正室,the lawful wife of Hideyoshi TOYOTOMI
淀競馬場,Yodo race track
近江蒲生郡,Omi-Gamo-gun (Omi-Gamo District)
憲政擁護運動,campaign for defending constitutionalism
天寿国繍帳,"Tenjukoku-shucho (the oldest needlework painting in Japan, a national treasure)"
小塩（十輪寺前）,Oshio (Jurin-ji-mae)
濃比須般国,Nueba Espana
町人文化,townsmen culture
ニュートラム,New Tram
京都新光悦村,Kyoto Shinkoetsu-mura
実朝,Sanetomo
桑原遺跡,Kuwanohara-iseki Ruins
鷹司輔平,Sukehira TAKATSUKASA
イオン高の原ショッピングセンター,Aeon Takanohara Shopping Center
源為憲,MINAMOTO no Tamenori
藤原内麻呂,FUJIWARA no Uchimaro
上野国太守,the governor of Kozuke Province
久貝,Kugai
大津皇子,Prince Otsu
神人,jinin
西大津駅,Nishiotsu Station
摂津守,Settsu no kami
大一大万大吉,Daiichi-Daiman-Daikichi
心柱,a central pillar
大坂市場,the market in Osaka
ガーデンミュージアム比叡,Garden Museum Hiei
八仙,Hassen
天台山国清寺,Tendai-san Kokusei-ji Temple
大徳寺内にある塔頭寺院,a minor temple in the Daitoku-ji Temple site
哲学,Philosophy
私家集,Shikashu
水揚げ,mizuage
屋形号,yakata-go (title given to a yakata)
遊佐木斎,Mokusai YUSA
熊川宿,Kumagawa-juku
秀長軍,Hidenaga's army
京都光華女子大学前,Kyoto Kokajoshi Gakuenmae
中御門経継,Tsunetsugu NAKAMIKADO
木津地区,Kizu area
若江城,Wakae-jo Castle
賀陽宮恒憲王,Kayanomiya Prince Tsunenori
吉田宿,"Yoshida-juku, the inn town"
矢野城,Yano castle
検察庁,Public Prosecutors Office
楠木氏,the Kusunoki clan
高野車庫前,Takano-shakomae
ベンケイソウ,Benkei Grass
深草,Fukakusa
臨床心理学,Clinical Psychology
金箔,gold leaf
日露戦争,Russo-Japanese War
能楽協会,The Nohgaku Performers' Association
伝記絵『慕帰絵詞』,"Denkie, ""Bokiekotoba"" (picture scroll of biography of Kakujo)"
侍従藤原定時,"FUJIWARA no Sadatoki, Chamberlain"
十六世日禎,the sixth chief priest Nittei
静賢法印（藤原通憲の子）,Jauken-hofuin (child of FUJIWARA no Michinori)
歩兵,foot soldier
悟り,"Satori, enlightenment"
嘉彰親王,Imperial Prince Yoshiakira
刀自古郎女,Tojiko no irazume
とよのあかり,Toyonoakari
中橋狩野家,Nakabashi Kano Family
伊賀日置系統,group of Iga-heki school
惣司,Soji
周易,Shueki
かかやく藤壺,Kakayaku Fujitsubo (bright Fujitsubo)
高辻福長,Tominaga TAKATSUJI
粟田御所,Awata Palace
モチーフ,a motif
満洲族,Manchus
山田奉行,Yamada bugyo
西八条邸,Nishihachijyo residence
稲荷大社前,Inari-taish-mae (in front of Inari Grand-Shrine)
カラマズー大学,Kalamazoo College
資料棟,Materials Building
真雅,Shinga
一如,Ichinyo
板倉勝重,Katsushige ITAKURA
大徳寺龍光院 (京都市)内の密庵,the Mitsuan-teahouse at the Ryuko-in of Daitoku-ji Temple (Kyoto City)
墨筆,a writing brush
中園家,the Nakazono family
門跡管領,monseki kanrei
首塚,Kubi-zuka
翻刻文,reproduction
梅津営業所,the Umezu business office
舞鶴市東地区,Maizuru City Higashi area
菅原類子,SUGAWARA no Tomoko
須磨琴,"suma-goto (Suma zither, which is a single-string zither)"
東伏見伯爵,Count Higashifushimi
妙徳山,Mt. Myotoku
源氏物語別本集成,"Genji Betsubon, Another Tale of Gengi corpus"
宇和荘,Uwa no sho (manor)
毛氈鞍覆,mosen kuraoi
江東区,Koto Ward
四辻家,the House of Yotsutsuji
衍,En
荻外荘,Tekigaiso
分水駅,Bunsui Eki (Station)
先鋒軍,spearhead army
百観音堂,Hyaku Kannon-do Hall
墓地,grave
豪華さ,luxury (magnificence)
梁代,Liang Period
範士十段,Hanshi Judan (tenth grade of the top rank of archery)
ジェームス・マクドナルド・ガーディナー,James McDonald GARDINER
贈名,"Okurina (Imina, given name to the dead)"
上品下生,jobon gesho
除目,Jimoku
会計大学院,Accounting School
山階寺,Yamashina-dera Temple
花山院忠輔,Tadasuke KAZANIN
関東公方,Kanto-kubo
日野・レインボー,Hino Rainbow
cafe北都,cafe Hokuto
正四位上,Shoshiinojo
六韜,Rikuto (an ancient Chinese strategy book)
藤島武二,Takeji FUJISHIMA
顕基,Akimoto
京極高盛,Takamori KYOGOKU
茶道の精神,spirit of the way of tea
蔵春院早河殿,Zoshun-in Hayakawa Dono
桂駅,Katsura Station
今川了俊,Ryoshun IMAGAWA
匂兵部卿,Niou Hyobukyo
範国記,Norikuniki
日本茶インストラクター,Nihoncha instructor
御小姓与,Okoshogumi family rank
九州南部,south of Kyushu
殿下渡領,denka no watari-ryo
鳥取豊岡宮津自動車道,Tottori Toyoka Miyazu Jidoshado Expressway
権大夫,Gon no daibu (provisional master)
井伊直弼,Naosuke II
舞鶴西港,Maizuru-Nishi Port
新撰組隊士,member of Shinsen-gumi masterless warriors' party
一味唐辛子、ごま,"ground red pepper, sesami"
スターバックス京都三条大橋店,Kyoto-sanjo-ohashi store of Starbucks Coffee
正式の客間,a formal living room (a formal drawing room)
鎮守八幡宮,Chinju Hachiman-gu Shrine
四条京阪,Shijo-Keihan
巻軸,an axis of scroll
揮毫,kigo (write with a brush)
慧文,Emon
多宝富士山,Tahofujisan
司馬遼太郎,Ryotaro SHIBA
速水流,Hayami-ryu school
私市 (駅),Kisaichi Station
家長,the head of a family
クスノキ,camphor tree
大坂夏の陣,Osaka Natsu no Jin (Summer Siege of Osaka)
大嘗祭,Daijo-sai festival (a festival to celebrate the succession of an emperor)
信範,Nobunori
仏教色,influence of Buddhism
僧実尊,So Jisson
元祇園社,Moto Gionsha
征東副使,Seito fukushi
流泉小史,Shoshi RYUSEN
堅田郵便局,Katata Post Office
正中二年七夕御会和歌懐紙,"pocket paper at Tanabata, the Star festival, gathering in the 2nd year of Shochu era"
正親町三条実愛,Sanenaru Ogimachi-SANJO
伏見長州屋敷,Choshu residence at Fushimi
忠快,Chukai
竹田車庫,Takeda depot
歴代の管長,Head of a school
古橋,Furuhashi
摂関,Sekkan
京都市道,Kyoto City Road
石州流伊佐派,Isa-ha group of Sekishu school
飲光,Onko
嫡流,a direct descendant
岩倉実相院,Iwakura Jisso-in Temple
ラマ教,Lamaism
尊氏庶子足利直冬,"Tadafuyu ASHIKAGA, son of Takauji by his concubine"
ダイヤ改正,timetable revision 
厚木駅,Atsugi Station
疏水分線,Sosuibunsen Canal
臨済宗の寺院,Rinzai Sect Buddhist temple
霊元上皇,the Retired Emperor Reigen
朔平門,Sakuhei Gate
木食応其上人,Mokujiki Ogo Jonin (St. Ogo MOKUJIKI)
大網蓮照寺,Oami Rensho-ji Temple
近藤芳助,Yoshisuke KONDO
紅,deep red (crimson)
月夜,a moonlit night
若狭京極氏,the Wakasa-Kyogoku clan
枕草子,Makura no soshi (the Pillow Book)
畠山国清,Kunikiyo HATAKEYAMA
小紋の裃,kamishimo with small family crests
安祥寺流,Anshoji-ryu
清酒製造免許復活許可,allowance to reactivate the license to brew seishu
後嵯峨天皇陵,Mausoleum of Emperor Gosaga
松前,Matsumae
藤原親盛,FUJIWARA no Chikamori
備後守護,military governor of Bingo Province
下市駅,Shimoichi Station
慶沢園,Keitaku-en garden
芥川龍之介,Ryunosuke AKUTAGAWA
壇ノ浦,Dan no ura
和光同塵,Wako dojin (mingling with the world by hiding one's true talent or knowledge)
箕田源次,Genji MITA
須佐駅,Susa Station
禅寺・祥雲寺,Zen temple Shoun-ji
園部県知事,the governor of Sonobe Prefecture
院政期,cloister government period
大江以言,OE no Mochitoki
紀伊郡,Kii County
加冠の儀,kakan-no-gi (headgear wearing ceremony)
真宗佛光寺派の本山,a head temple of Shinshu sect Bukko-ji school
幽斎,Yusai
滝見観音（たきみ）,Takimi Kannon
平野正介,Shosuke HIRANO
楼門五三桐,Sammon Gosan-no-Kiri
李靖,"Risei, Li Jing"
チリカン（ちりかん）,Chiri-kan
大谷光演,Koen OTANI
六観音,"6 Kannon, Roku Kannon"
清塚,Kiyozuka
義治,Yoshiharu
影面道,Kagetomo-no-michi
裏木曽御用材伐採式,Urakisogoyouzai Bassaishiki
音羽御所,Otowa-no-gosho
吉川弘文館人物叢書,"""Jinbutsu Sosho"", Yoshikawa Kobunkan Inc."
西田村,Nishita-mura
歌舞,utamai (a performance of singing and dancing)
有職文化研究所,Yusoku Bunka Kenkyujo (Institute of Court Culture)
左府,Safu 
北宇智駅,Kita-Uchi Station
袱紗,fukusa 
神戸郷,Kanbe-go
枇杷殿皇太后,Biwadono Kotaigo (Empress dowager Biwadono)
天下一品総本店,main shop of Tenkaippin Ramen
大和高田バイパス,Yamato-takada Bypass
逢瀬,a date
尋源館,Jingen-kan
西武新宿線新井薬師前駅,"Seibu Shinjiku Line, Araiyakushi station"
百済大寺,Kudara dai-ji Temple
民間信仰,"folk beliefs, folk religion"
旧京阪国道,Old Keihan-kokudo national road
会社法,Companies Act
禅林寺殿,Zenrinji-dono Palace
大原西陵,Ohara no Nishi no Misasagi
マルス (システム)端末,MARS (system) terminal
述誠,Jutsujo
圓教寺,Engyo-ji Temple
六条八幡宮,Rokujo Hachiman-gu Shrine
賀茂河原,Kamo Kawara
荒河かしの木台駅,Araga Kashinokidai Station
御書,"gosho, writings/letters of superior"
阿弥陀信者,Amidabha Buddha follower
面穢松茸：（おもきたなきまつたけ）,omokitanaki matsutake (not good looking matsutake mushroom)
大雅堂,Taigado
赤井英和,Hidekazu AKAI
藤田氏,FUJITA clan
信勝,Nobukatsu
家永遵嗣,Junji IENAGA
兵糧攻め,starvation policy
吉田経長,Tsunenaga YOSHIDA
櫛笥隆致,Takachika KUSHIGE
伊丹勝長,Katsunaga ITAMI
イタチ科（テン）,Mustelidae (martens)
スポーツ健康科学科,Department of Health and Sports Science
河童,kappa
正嘉の飢饉,the Shoka Famine
大阪府立金岡高等学校,Osaka prefectual Kanaoka high school
ガジャマダ大学,Gadjah Mada University
中西悟堂,Godo NAKANISHI
中宮寺,Chugu-ji Temple
奈良府,Nara-fu
女人結界,"Nyonin Kekkai, prohibition against women entering a sacred area"
高砂神社,Takasago Jinja Shrine
京阪神地域,Keihanshin area
息女,a daughter
京都茶道界,tea ceremony community of Kyoto
普斎流,Fusai-ryu school
旧帝国海軍,Old Imperial Navy
滋賀銀行,"The Nanto Bank, Ltd."
海相,Minister of the Navy
後花園上皇,the retired Emperor Gohanazono
七谷川キャンプセンター,Nanatani-gawa Camp Center
冠岳,Kanmuri-dake Mountain
菩提寺,a family temple
急行列車「はしだて」,"Express ""Hashidate"""
立鼓,ryugo
勾陳,Kochin
九条流摂関家,Kujoryu Sekkan-ke (line of regents and advisers of Kujo School)
藤原摂関家,the Fujiwara sekkanke 
下賜金,imperial donation
奥嵯峨,Okusaga
正木美術館,Masaki Art Museum
出雲吉田村,Izumo-yoshida-mura
伊予国(愛媛県),Iyo Province (Ehime Prefecture)
骨董趣味,"antiquarianism, taste for collection items"
木津温泉,Kitsu-onsen Hot Spring
春日竜神,Kasuga ryujin
国守,kokushu
常陸太守,the governor of Hitachi Province
滄浪泉園,Sorosen-en garden
義勇,men of loyalty and courage
海老,shrimp
北陸地方,Hokuriku region
足立美術館,Adachi Museum of Art
瀟湘八景図,Shosho Hakkei-zu
鴨,duck
風鈴状,wind-chime-like objects
平盛信,TAIRA no Morinobu
右大臣藤原良相,"Udaijin (Minister of the Right), FUJIWARA no Yoshimi/Yoshiau"
俵,a bale
二重織物,double fabrics
関西大学,Kansai University
天竺人,Indians
如庵,Joan
大坂留守居,Osaka Rusui
遺児,bereaved child
洛西口駅,Rakusaiguchi Station
持地,Jiji
門入斎,Monnyusai
小幡神社,Obata-jinja Shrine
花園大学歴史博物館,Hanazono University Historical Museum
与謝郡伊根町,"Ine-cho, Yosa-gun"
宮城野駅,Miyagino Station
直江駅,Naoe Station
清経,Kiyotsune
北野大茶湯,the Great Kitano Tea Gathering
生駒,Ikoma
カイコ,silkworm
テイチクエンタテインメント,"Teichiku Entertainment, Inc."
相川駅,Aikawa Station
日野資康,Sukeyasu HINO
出町橋,Demachi-bashi Station
施無畏印,Semui-in
宗会,Shukai
在此一戦,"Kono Issen ni ari (""It depends on this battle."", Heihachiro TOGO's word)"
杉,Japanese ceder
本朝帝皇紹運録,Honcho Teiko Joun roku
河根川,Kawane-gawa River
ソク（土扁に「塞」）,soku (the method to state dry-lacquer statue)
若狭守護,Shugo (Military Governor) of Wakasa Province
藤原義子,FUJIWARA no Gishi
霊元上皇皇女,daughter of the Retired Emperor Reigen
占筮,divination
二条殿町,Nijodencho
細川護貞,Morisada HOSOKAWA
前大僧正慈円,Saki-no-Daisojo Jien (Former High Priest JIEN)
賢所,Kashikodokoro
福知山線,Fukuchiyama Line
雲居寺,Ungo-ji Temple
善行院,Zengyo-in
字余り,an extra syllable
錦林車庫 (前),Kinrin Shako-mae
和歌や連歌の会,gathering of waka and renga (linked verse)
楽屋,Gakuya (music stage)
延喜・天暦の治,"Engi, Tenryaku no chi (reign of Emperor Daigo and Murakami)"
東向日駅,Higashimuko Station
大津,Otsu
郎等,roto
濡鷺,"nure-sagi type (a variety of basic-type ishi-doro whose hexagonal hibukuro is carved with a heron (or, sagi in Japanese))"
藤原鎌足,FUJIWARA no Kamatari
八幡前,Hachimanmae
千手窟,Senjukutsu
筑前守如元,Retained his position as Governor of Chikuzen Province
松平信発,Nobuoki MATSUDAIRA
匂当氏,the Koto clan
伊予宇都宮系図,Iyo-Utsunomiya family record
ヤジロウ,Yajiro
持蓮観音（じれん）,Jiren Kannon
鈴鹿山脈,Suzuka mountain range
矢田座,Yata-za
前川國男,Kunio MAEKAWA
細草壇林,Hosokusa Danrin
島津忠景,Tadakage SHIMAZU
道隆,Michitaka
三江線,Sanko Line
扇谷上杉家,Ogigayatsu Uesugi clan
中尊寺願成就院,Chuson-ji Temple Ganjojuin
桂忠詮,Tadanori KATSURA
日本プロサッカーリーグ,Japan Professional Football League
本尊七箇之相承,Honzon Shichika no Sojo
修理職,Shurishiki
三好長光,Nagamitsu MIYOSHI
桑名藩,domain of Kuwana
改号,Kaigo (change of name of title)
現門主（住職）（即如）,the present Monshu (chief priest) (Sokunyo)
源保光,MINAMOTO no Yasumitsu
占部観順,URABE Kanjun
甲良町,Kora-cho
宥免,forgiveness
迹見赤檮,TOMI no Ichii
西木屋町通,Nishi-kiyamachi-dori Street
余韻,a lingering sound
天（Deva、てん）,"Ten, Deva"
美方ケーブルネットワーク,Mikata Cable Network
小出英発,Fusaoki KOIDE
御手印遺告,Go Tein Yuigo
キリシタン大名,Christian daimyo (Christian feudal lord)
ヨハネ（ニ）ス・デ・レイ（ー）ケ,Yohanesu de Reike
千代川インターチェンジ,Chiyokawa Interchange
船底天井（船底のような形状に板を貼り、中央部を高くした天井）,Funazoku Tenjo (wooden ceiling shaped like a ship's bottom with high center part)
門川大作（かどかわだいさく）,Daisaku KADOKAWA
舟橋則賢,Norikata FUNABASHI
小早川弘景,Hirokage KOBAYAKAWA
波瀬氏,Namise clan
周防国守,Suo-no-kuni Guard (Daimyo- of Suo-no-kuni)
林羅山,Razan HAYASHI
石塔,stone pagoda
いか豊穣めし,Ika (squid) Hojo-meshi
東三条院,Higashi Sanjoin
正親町三条実継,Sanetsugu OGIMACHISANJO
玄朔,Gensaku
長禅寺殿春岩徳元,Chozenjidonoshungantokugen
前身,the predecessor
狩野光信の高弟,high ranked disciple of Mitsunobu KANO
近侍,valet
清和天皇女御,a consort of Emperor Seiwa
北越鉄道 (線),Hokuetsu Railway (Line)
鞍馬線,Kurama Line
五守護女神,Five Protectress Deities
近代の沿革,the history in early times
クベーラ,Kubera
豪農,wealthy farmer
雀部村,Sasabe-mura
冷泉大納言隆房,Reizei Dainagon Takafusa
姫役,role of princess
菜虫譜,Saichu-fu (Vegetables and Insects)
瞑想,meditation
富貴宮,Fukinomiya
信州戸隠山,Togakushi Mountain in Shinshu
神護寺の別院,a branch temple of Jingo-ji Temple
生木地蔵,Iki Jizo
元文,Gembun era
家宰,Kasai (main retainer)
南千里 (駅),Minami-senri Station
藤原冬嗣,FUJIWARA no Fuyutsugu
神社本庁,Jinja-Honcho
本郷学園,Hongo Gakuen
弘安（亀山天皇）,Koan (hosted by Emperor Kameyama)
阪急阪神ホールディングス株式会社,"Hankyu Hanshin Holdings, Inc."
句句廼馳神,Kukunochi no kami
日記『貞信公記』,"""Teishin-ko Ki"", The Diary of Teishinko"
大炊頭,Ｃｈｉef storekeeper/Palace kitchens manager
道成寺,Dojo-ji Temple
将軍や大名の寝所,sleeping room of shogun and daimyo
橘公材,TACHIBANA no Kimisai
染田天神連歌,Someda Tenjin Renga
李朝,Yi Dynasty Korea
器物,utensils
吉田左近右衛門業茂,Narishige Sakon-uemon YOSHIDA
鎮撫使,Chinbushi (temporary government post)
妙光寺,Myoko-ji Temple
観世小次郎信光,Nobumitsu KANZAKOJIRO
平関白,Taira-kanpaku (Imperial Regent Taira)
法然上人求道青年像,Honen Shonin Gudo Seinen zo
岩出駅,Iwade Station
明雲,Myoun
菊の御紋,the Chrysanthemum Throne
平安京遷都,the transfer of national capital to the city of Heian-kyo
備後前司,the former governer of Bingo Province
院別当,In no betto (chief administrator of the Retired Emperor's Office)
時雨殿,Shigureden
後一条天皇中宮,the second consort of the Emperor Goichijo
土山宿（滋賀県甲賀市(旧・甲賀郡土山町)）,Tsuchiyama-juku Station (Koka City Shiga Prefecture (old Tsuchiyama-cho Koka County))
反織田,Anti-Oda
馬標,Umajirushi
伊予名越城,Iyo-Nagoshi-jo Castle
京都市醍醐西市営住宅,the Kyoto City-run Daigo-nishi (west) housing complex
文智女王,Bunchi-Joo/Princess Bunchi
人材派遣業,temporary personnel service
三条西公国,Kinkuni SANJONISHI
西陣の聖天さん,Nishijin-no-Shoten-san
吸い口,suikuchi (a fragrant garnish)
西郷三助,Sansuke SAIGO
鹿の子留,kanoko-dome
吉村正裕,Masahiro YOSHIMURA
広島県,Hiroshima Prefecture
陸上自衛隊第7普通科連隊,the 7th Infantry Regiment of the Japan Ground Self-Defense Force
高岡市,Takaoka City
山科陵,Yamashina no misasagi
外戚,a maternal relative
ロシア,Russia
山科僧正,the archbishop of Yamashina
ハリス理化学館,Harris Science Hall
阿羅醐,Arago the Demon Lord
芸術の集落,a community of the art
三好一族,Miyoshi Family
井手町立泉ヶ丘中学校,Ide Municipal Izumigaoka Junior High School
神殿,a shrine
水資源開発基本計画,Water Resources Development Basic Plan
日本通運,"Nippon Express Co., Ltd."
三清華家,Three Seiga Houses
乃木神社,Nogi-jinja Shrine
大和国石上神社,"Ishigami-jinja Shrine, Yamato-no-kuni"
光琳が私淑,Korin modeled himself on Sotatsu
明王院不動寺,Myoin Fudo-ji Temple
絵あはせ,Eawase Picture Matching
岸御園,Misono KISHI
秘仏,Buddhist image normally withheld from public view
飛騨国高山城主金森長近,"Nagachika KANAMORI, Lord of Takayama-jo Castle in Hida Province"
雲海,"cloud sea, field of clouds, sea of clouds"
舎利礼文,Shariraimon Sutra
家中,the family
公家、武家、茶人,"Court nobles, warrior households, masters of tea ceremony"
九重塔,Kujunoto (Nine-story Pagoda)
千宗旦茶杓,a tea scoop of SEN no Sotan
高麗時代,Goryeo Period
細男,Seino (a musical program of gagaku associated with a historical fact of Empress Jingu)
政元,Masamoto
近衛経忠,Tsunetada KONOE
紀伊国熊野,"Kumano, Kii Province"
堰塞（いせき）,iseki
築地塀回廊,Tsuijibeikairo Cloister
所収,included in
御帳,"micho (a curtain or hangings for a nobleman, or a nobleman's room)"
近鉄宮津 (駅),Kintetsu-Miyazu Station
仏堂,a Buddhist temple
北小栗栖,Kita-Ogurisu
重房,Shigefusa (UESUGI)
石和地域,Sekiwa region
糠味噌床,Nukamiso-doko (rice bran paste bed)
三高,Sanko
南北朝,Nanbokucho
繁沢元氏,Motouji SHIGESAWA
蔵人頭,Kurodo no to
李崎,Sumonzaki
加茂みたらし茶屋,Kamo Mitarashi Tea House
近畿地区,Kinki area
京都市指定文化財,cultural properties designated by Kyoto City
安井門跡,Yasui Monzeki
宮内庁長官,the Grand Steward of the Imperial Household Agency
吉村勘兵衛,Kanbe YOSHIMURA
青竜院,Seiryu-in
舎衛城,Sravasti
山本博文,Hirofumi YAMAMOTO
下間真頼,Shinrai SHIMOTSUMA
大泉寺,Daisen-ji Temple
道行文,Michiyukibun
来朝僧,monks visited Japan
図書寮,Zushoryo
陣,armed camp
討幕,anti-shogunate
博雅三位（はくがのさんみ）,Hakuga no sanmi (Junior Third Rank Hiromasa)
染色,dying
寺社好み,the taste of persons related to temples and shrines
遠田澄庵,Choan TODA
蹴上,Keage
四天王像,Shitenno-zo
慶光院,Keiko-in
真言宗京都学園,Shingon-shu Kyoto Gakuen
京都地方裁判所舞鶴支部,Kyoto District Court Maizuru Branch
応永,Oei
深覚,Shinkaku
絹本著色,color painting on silk
競馬関係者,participants in the racing world
照射（ともしゆみ、ともし）,tomoshiyumi/tomoshi
右向き,right facing
六条行家,Yukiie ROKUJO
阿波大宮駅,Awa-Omiya Station
下級僧侶,lower ranked priest
正福寺,Shofuku-ji Temple
尊仁親王,Imperial Prince Takahito
陽鋳（ようちゅう、浮き彫り）,relief engraving
同門会,Domon-kai
重森三玲,Mirei SHIGEMORI
八木村,Yagi-mura
但木成行,Nariyuki TADAKI
吉村家住宅,the Yoshimura family home
内裏野,Dairino
浜松市,Hamamatsu City
佐藤諦学,Taigaku SATO
田植え,rice planting
六角氏,Rokkaku clan
帝紀,Teiki 
引き題目,Hiki-daimoku
田辺城の戦い,The Battle of Tanabe-jo Castle
赤穂藩,Ako han
粳（うるしね）,urushine
良医病子（ろういびょうし）,the parable of the excellent physician
碾茶,tencha
建築学科,Department of Architecture
京阪神,Keihanshin
九条,Kujo
八条堀河,Hachijo Horikawa
浄土宗西山禅林寺派,"Seizan-Zenrinji group, Jodo-shu sect"
柳生宗厳（石舟斎）,Munetoshi YAGYU
皇子女,prince/princess
山王一実神道,Sannou Ichijitsu Shinto
大阪商品取引所,Osaka Mercantile Exchange
左衛門権佐,Saemon no gon no suke
観智院,Kanchi-in Temple
僧形八幡神,Sogyo Hachimanshin
方立て（ほたて）,hotate (a thin board or narrow post set on each side of a door or gate to provide a neat finish)
民間祈祷,folk prayer
尊皇攘夷派,Sonno Joi ha
俊乗坊重源,Chogen SHUNJOBO
徳大寺実則,Sanetsune TOKUDAIJI
室生寺,Muro-ji Temple
一本造,ichibokuzukuri (a method of making a Buddha statue. The main parts of the statue are carved from one wood]
ラーメンテーマパーク「京都拉麺小路」,"ramen theme park, ""Kyoto-Ramen-Koji"""
平野 (大阪市),Hirano (Osaka City)
